Site 1,Site 2,P [Site 1 –> Site 2],P [Site 2 –> Site 1],P [Site 1 <–> Site 2],Site 1 subs,Site 2 subs,Shared subs
2,4,"0.42","0.49","0.91",1,1,1
7,331,"0.44","0.46","0.91",1,1,1
54,535,"0.33","0.25","0.58",2,2,1
61,648,"0.50","0.30","0.80",1,2,1
90,646,"0.45","0.46","0.91",1,1,1
96,660,"0.45","0.46","0.91",1,1,1
111,415,"0.25","0.29","0.54",2,2,1
121,757,"0.43","0.36","0.79",1,2,1
122,197,"0.20","0.45","0.65",3,1,1
152,191,"0.32","0.31","0.63",1,1,1
152,654,"0.37","0.28","0.65",1,1,1
155,578,"0.23","0.55","0.78",2,1,1
158,300,"0.32","0.43","0.75",1,2,1
163,584,"0.22","0.51","0.73",2,1,1
174,753,"0.21","0.35","0.56",2,2,1
175,754,"0.48","0.40","0.88",1,1,1
177,412,"0.26","0.53","0.79",2,1,1
178,744,"0.32","0.46","0.78",2,1,1
179,318,"0.30","0.28","0.58",2,2,1
182,503,"0.34","0.52","0.86",1,1,1
191,654,"0.35","0.26","0.60",1,1,1
194,350,"0.45","0.46","0.91",1,1,1
195,551,"0.45","0.46","0.91",1,1,1
197,618,"0.48","0.10","0.58",1,4,1
221,443,"0.41","0.14","0.56",1,4,1
222,495,"0.50","0.30","0.80",1,2,1
224,645,"0.17","0.48","0.65",2,1,1
236,512,"0.080","0.47","0.55",4,1,1
238,379,"0.42","0.24","0.66",1,3,1
269,528,"0.53","0.18","0.71",2,1,1
269,645,"0.27","0.37","0.64",2,1,1
282,373,"0.36","0.56","0.91",1,1,1
294,333,"0.41","0.48","0.89",1,1,1
299,381,"0.24","0.36","0.59",1,3,1
300,508,"0.47","0.28","0.75",2,1,1
339,455,"0.55","0.22","0.77",1,2,1
339,730,"0.43","0.075","0.50",1,4,1
364,512,"0.22","0.56","0.77",2,1,1
372,584,"0.13","0.40","0.53",3,1,1
375,720,"0.21","0.45","0.67",3,1,1
381,472,"0.34","0.26","0.60",3,1,1
387,396,"0.48","0.21","0.69",1,3,1
397,746,"0.18","0.51","0.69",3,1,1
403,484,"0.51","0.40","0.91",1,1,1
419,424,"0.37","0.17","0.54",2,2,1
492,712,"0.23","0.42","0.64",3,1,1
527,687,"0.23","0.46","0.69",3,1,1
550,637,"0.38","0.43","0.81",1,1,1
566,694,"0.51","0.31","0.81",1,2,1
571,574,"0.52","0.20","0.72",1,3,1
579,611,"0.46","0.20","0.66",1,3,1
586,587,"0.27","0.23","0.51",10,5,2
639,719,"0.42","0.47","0.89",1,1,1
