Site 1,Site 2
2,1280
3,935
13,164
22,158
41,1155
50,854
70,418
70,950
83,280
95,213
98,910
102,709
102,916
109,425
111,331
119,483
120,728
122,1233
134,173
134,514
153,259
153,288
161,503
166,588
171,348
173,514
174,205
181,656
183,743
184,846
187,659
188,206
193,456
193,1093
213,1279
220,291
220,576
221,920
221,1034
232,233
238,241
245,1029
246,957
246,1148
252,1277
258,846
259,288
285,1200
291,576
292,889
296,531
315,960
320,891
325,451
348,402
363,904
369,464
369,933
377,1307
400,523
413,616
418,950
420,931
424,1007
447,831
456,1080
464,1133
478,1152
526,741
526,898
529,1268
541,864
551,1195
571,1074
573,647
575,906
586,778
598,1090
627,1246
629,1154
630,672
630,825
630,1249
668,1227
673,947
675,778
685,986
709,916
713,763
741,898
749,986
773,888
787,1112
793,815
821,1046
826,1173
859,1112
859,1126
888,906
889,1307
896,955
896,1233
906,1156
918,1078
957,1148
987,989
1049,1120
1096,1113
1156,1202
1190,1283
